ItemID,Name,Quantity,Price,SKU
1,Mechanical Keyboard,15,3499.0,ed01ffa1-dd88-431c-bc40-fa7617ca6495
2,Wireless Mouse,30,899.0,9e60204d-5d34-4f41-b80e-3dcddd2de303
3,Gaming Headset,12,2499.0,67c73c00-da3a-46b6-a1a6-d082703832d9
4,USB-C Hub,18,1799.0,a5c69ea0-84b3-457b-af1a-1bd1be30c108
5,27 Inch Monitor,8,12999.0,4231c69f-7991-41e3-ba9f-5f568e1a7da9
6,Laptop Stand,25,1199.0,9e010292-d3d0-437f-830b-331498a22ff3
7,External SSD 1TB,10,6999.0,e64ab7a9-32d7-4600-9ff9-a62c623625b1
8,Webcam HD,20,1599.0,59d201c5-9b91-479d-8c91-5684b0dfd6c6
9,Bluetooth Speaker,14,2299.0,74b343a6-fed4-4d4b-a290-ea9822e7611b
10,Smart Watch,16,4999.0,6bcb93b2-cf32-4b68-8519-4a1d2496aa35
11,Power Bank 20000mAh,22,1899.0,666aa540-0040-4201-b31c-d669448bd31e
12,Wireless Charger,19,1299.0,229238e0-9864-48ea-88bf-f6dc7897937f
13,LED Desk Lamp,17,999.0,cc8636f7-dec4-4c19-942f-dfe3db06e44e
14,Graphics Tablet,7,5499.0,67fc0968-6a7f-45ad-a60a-e055206d0526
15,Portable HDD 2TB,9,5899.0,77f92924-3beb-4334-84be-2664a287e253
16,WiFi Router,13,2799.0,2bd22d67-c01c-48d3-8fb8-6be3b56f2045
17,Mechanical Pencil,40,149.0,19308470-d8d4-409a-8b79-b3e554f69b4b
18,Office Chair,6,8999.0,b74d8776-82ca-4bc1-a66a-2e674a5e1de7
19,Ergonomic Mouse,11,1999.0,dae75589-b4d6-4f65-947b-7c588cdebd92
20,Earbuds,21,3299.0,9921aea8-3052-48ab-84a3-c98109496e11
21,Nike Shoes,100,1999.0,438f4594-cff8-41e9-b75c-029164a93ecb
